"Time","Milkshake","Hamburger","Breakup"
"2024-02-01",31,87,28
"2024-03-01",31,92,25
"2024-04-01",29,91,21
"2024-05-01",27,100,17
"2024-06-01",30,95,22
"2024-07-01",29,100,17
"2024-08-01",28,90,14
"2024-09-01",25,89,18
"2024-10-01",25,81,18
"2024-11-01",25,74,17
"2024-12-01",23,72,17
"2025-01-01",30,79,17
"2025-02-01",34,84,20
"2025-03-01",36,91,18
